,cnn_sgmt_fkey,ped_action
2,5408000.0,1.6325940003887436
3,9299000.0,1.6325940003887436
4,179000.0,0.5441980001295812
5,4301000.0,0.5441980001295812
7,5883000.0,0.5441980001295812
9,11248000.0,0.5441980001295812
10,191101.0,0.5441980001295812
13,6259000.0,0.5441980001295812
15,13331000.0,0.5441980001295812
16,13151201.0,1.0883960002591624
19,8506000.0,0.5441980001295812
20,2018000.0,1.6325940003887436
21,7549000.0,0.5441980001295812
22,12427000.0,0.5441980001295812
24,2445000.0,0.5441980001295812
25,2734000.0,0.5441980001295812
37,914101.0,1.0883960002591624
39,13154102.0,2.720990000647906
40,270002.0,0.5441980001295812
41,9691000.0,2.720990000647906
43,674000.0,0.5441980001295812
44,3453000.0,1.0883960002591624
45,3525000.0,1.0883960002591624
49,11470000.0,0.5441980001295812
50,6554000.0,0.5441980001295812
52,4351000.0,1.6325940003887436
53,7193000.0,0.5441980001295812
56,6822000.0,0.5441980001295812
58,7834101.0,1.0883960002591624
59,3028101.0,0.5441980001295812
60,9222000.0,0.5441980001295812
61,3790000.0,1.6325940003887436
65,11282000.0,1.6325940003887436
66,13146201.0,0.5441980001295812
67,3022000.0,0.5441980001295812
68,2787000.0,0.5441980001295812
69,9116000.0,1.6325940003887436
71,8344101.0,0.5441980001295812
73,7538000.0,0.5441980001295812
75,10664101.0,0.5441980001295812
77,8754201.0,1.6325940003887436
80,4008000.0,0.5441980001295812
81,270002.0,0.5441980001295812
82,11371000.0,1.0883960002591624
84,12532004.0,0.5441980001295812
85,3937000.0,0.5441980001295812
86,13060000.0,0.5441980001295812
87,184101.0,1.6325940003887436
88,2173101.0,0.5441980001295812
90,10731000.0,1.6325940003887436
92,8272000.0,0.5441980001295812
93,858000.0,0.5441980001295812
96,11005000.0,1.6325940003887436
97,8742101.0,0.5441980001295812
102,3881000.0,0.5441980001295812
103,12328000.0,0.5441980001295812
104,9636000.0,0.5441980001295812
107,6620000.0,0.5441980001295812
109,11439104.0,0.5441980001295812
113,9120000.0,1.0883960002591624
114,9889000.0,1.6325940003887436
115,4912000.0,0.5441980001295812
116,11544000.0,0.5441980001295812
117,924201.0,1.0883960002591624
118,9825101.0,3.8093860009070686
120,12290101.0,0.5441980001295812
121,4634000.0,0.5441980001295812
122,8739201.0,0.5441980001295812
123,7475000.0,1.6325940003887436
128,3959000.0,0.5441980001295812
129,5601001.0,1.6325940003887436
130,12416000.0,1.6325940003887436
131,10564000.0,0.5441980001295812
135,10476000.0,0.5441980001295812
136,9768000.0,0.5441980001295812
137,184101.0,0.5441980001295812
138,9814201.0,1.6325940003887436
140,10576000.0,2.1767920005183248
141,5881000.0,2.1767920005183248
142,3168000.0,0.5441980001295812
147,11439101.0,0.5441980001295812
148,198201.0,0.5441980001295812
149,6809000.0,1.6325940003887436
150,8746103.0,0.5441980001295812
151,12555102.0,0.5441980001295812
157,487000.0,0.5441980001295812
158,6263000.0,0.5441980001295812
159,184101.0,0.5441980001295812
160,184101.0,0.5441980001295812
163,10272101.0,1.0883960002591624
164,6472000.0,0.5441980001295812
165,13149101.0,0.5441980001295812
167,12547101.0,0.5441980001295812
168,9747201.0,1.0883960002591624
170,3550000.0,1.6325940003887436
172,8740201.0,0.5441980001295812
176,12555102.0,0.5441980001295812
177,7833201.0,1.6325940003887436
179,7170000.0,0.5441980001295812
181,11226000.0,1.6325940003887436
182,12024000.0,0.5441980001295812
184,3341000.0,1.6325940003887436
186,2157203.0,0.5441980001295812
187,3310001.0,1.6325940003887436
188,10667201.0,0.5441980001295812
189,2158201.0,1.0883960002591624
190,12170000.0,1.6325940003887436
191,207101.0,0.5441980001295812
193,7977000.0,1.6325940003887436
194,10554000.0,0.5441980001295812
197,8810000.0,0.5441980001295812
198,2828000.0,0.5441980001295812
201,9103000.0,0.5441980001295812
202,3976000.0,0.5441980001295812
203,3315000.0,1.0883960002591624
204,9656000.0,0.5441980001295812
205,12547101.0,0.5441980001295812
206,3155001.0,0.5441980001295812
207,7032000.0,0.5441980001295812
208,15166000.0,0.5441980001295812
209,2479102.0,0.5441980001295812
212,14019001.0,1.6325940003887436
215,4067000.0,1.6325940003887436
217,6809000.0,1.6325940003887436
