,cnn_intrsctn_fkey,cnn_sgmt_fkey,ped_action,number_injured,number_killed
119,24461000,,No Pedestrian Involved,3,0.0
120,23313000,12290101.0,No Pedestrian Involved,1,0.0
121,23740000,4634000.0,No Pedestrian Involved,1,0.0
122,30728000,8739201.0,No Pedestrian Involved,1,0.0
123,20155000,7475000.0,"In Road, Including Shoulder",1,0.0
124,27151000,,No Pedestrian Involved,1,0.0
125,20490000,,No Pedestrian Involved,1,0.0
126,23853000,,No Pedestrian Involved,1,0.0
127,24383000,,No Pedestrian Involved,1,0.0
128,25463000,3959000.0,No Pedestrian Involved,1,0.0
129,34019000,5601001.0,Not in Road,1,0.0
130,23440000,12416000.0,Not Stated,1,0.0
131,25201000,10564000.0,No Pedestrian Involved,1,0.0
132,27621000,,No Pedestrian Involved,1,0.0
133,25703000,,No Pedestrian Involved,1,0.0
134,24311000,,Crossing in Crosswalk at Intersection,1,0.0
135,25222000,10476000.0,No Pedestrian Involved,1,0.0
136,26419000,9768000.0,No Pedestrian Involved,1,0.0
137,32859000,184101.0,No Pedestrian Involved,1,0.0
138,52238000,9814201.0,Not Stated,1,0.0
139,22537000,,Not Stated,1,0.0
140,25315000,10576000.0,Not in Road,2,0.0
141,24331000,5881000.0,Not in Road,2,0.0
142,25292000,3168000.0,No Pedestrian Involved,1,0.0
143,24513000,,No Pedestrian Involved,1,0.0
144,21897000,,No Pedestrian Involved,2,0.0
145,24055000,,No Pedestrian Involved,0,1.0
146,33287000,,Not Stated,1,0.0
147,21844000,11439101.0,No Pedestrian Involved,1,0.0
148,20247000,198201.0,No Pedestrian Involved,1,0.0
149,30016000,6809000.0,"In Road, Including Shoulder",1,0.0
150,54124000,8746103.0,No Pedestrian Involved,1,0.0
151,50157000,12555102.0,No Pedestrian Involved,1,0.0
152,24936000,,Not Stated,1,0.0
153,25804000,,Crossing in Crosswalk at Intersection,1,0.0
154,24265000,,No Pedestrian Involved,1,0.0
155,23378000,,No Pedestrian Involved,1,0.0
156,27297000,,No Pedestrian Involved,1,0.0
157,50691000,487000.0,No Pedestrian Involved,1,0.0
158,24431000,6263000.0,No Pedestrian Involved,1,0.0
159,32859000,184101.0,No Pedestrian Involved,1,0.0
160,32859000,184101.0,No Pedestrian Involved,1,0.0
161,24315000,,Crossing in Crosswalk at Intersection,1,0.0
162,26052000,,No Pedestrian Involved,1,0.0
163,27449000,10272101.0,No Pedestrian Involved,2,0.0
164,26580000,6472000.0,No Pedestrian Involved,1,0.0
165,25183000,13149101.0,No Pedestrian Involved,1,0.0
166,26632000,,No Pedestrian Involved,1,0.0
167,50091000,12547101.0,No Pedestrian Involved,1,0.0
168,22436000,9747201.0,No Pedestrian Involved,2,0.0
169,20813000,,No Pedestrian Involved,1,0.0
170,25225000,3550000.0,"In Road, Including Shoulder",1,0.0
171,21306000,,Not Stated,1,0.0
172,30729000,8740201.0,No Pedestrian Involved,1,0.0
173,25962000,,"In Road, Including Shoulder",1,0.0
174,23604000,,No Pedestrian Involved,1,0.0
175,20164000,,No Pedestrian Involved,1,0.0
176,53011000,12555102.0,No Pedestrian Involved,1,0.0
177,23810000,7833201.0,"In Road, Including Shoulder",1,0.0
178,24388000,,Crossing Not in Crosswalk,1,0.0
179,23553000,7170000.0,No Pedestrian Involved,1,0.0
180,24144000,,No Pedestrian Involved,1,0.0
181,24734000,11226000.0,Not in Road,1,0.0
182,24139000,12024000.0,No Pedestrian Involved,1,0.0
183,24104000,,No Pedestrian Involved,1,0.0
184,26563000,3341000.0,"In Road, Including Shoulder",1,0.0
185,25475000,,No Pedestrian Involved,1,0.0
186,52273000,2157203.0,No Pedestrian Involved,1,0.0
187,24008000,3310001.0,Not in Road,1,0.0
188,24000000,10667201.0,No Pedestrian Involved,1,0.0
189,21705000,2158201.0,No Pedestrian Involved,2,0.0
190,24887000,12170000.0,"In Road, Including Shoulder",1,0.0
191,20219000,207101.0,No Pedestrian Involved,1,0.0
192,25957000,,Crossing in Crosswalk at Intersection,1,0.0
193,26583000,7977000.0,Crossing Not in Crosswalk,1,0.0
194,25176000,10554000.0,No Pedestrian Involved,1,0.0
195,25806000,,No Pedestrian Involved,1,0.0
196,24444000,,No Pedestrian Involved,1,0.0
197,25070000,8810000.0,No Pedestrian Involved,1,0.0
198,51760000,2828000.0,No Pedestrian Involved,1,0.0
199,24128000,,No Pedestrian Involved,1,0.0
200,27154000,,No Pedestrian Involved,1,0.0
201,24311000,9103000.0,No Pedestrian Involved,1,0.0
202,26763000,3976000.0,No Pedestrian Involved,1,0.0
203,21137000,3315000.0,No Pedestrian Involved,2,0.0
204,27340000,9656000.0,No Pedestrian Involved,1,0.0
205,23597000,12547101.0,No Pedestrian Involved,1,0.0
206,35069000,3155001.0,No Pedestrian Involved,1,0.0
207,24532000,7032000.0,No Pedestrian Involved,1,0.0
208,51631000,15166000.0,No Pedestrian Involved,1,0.0
209,52258000,2479102.0,No Pedestrian Involved,1,0.0
210,25908000,,Not in Road,3,0.0
211,25493000,,No Pedestrian Involved,3,0.0
